event,week,queries,main_topic
Катастрофа Ан-148 в подмосковье,05.03.2018,100621,DIS
Катастрофа Ан-148 в подмосковье,12.03.2018,22085,DIS
Катастрофа Ан-148 в подмосковье,19.03.2018,18164,DIS
Катастрофа Ан-148 в подмосковье,26.03.2018,16500,DIS
Катастрофа Ан-148 в подмосковье,02.04.2018,11260,DIS
Катастрофа Ан-148 в подмосковье,09.04.2018,27387,DIS
Катастрофа Ан-148 в подмосковье,16.04.2018,6733,DIS
Катастрофа Ан-148 в подмосковье,23.04.2018,5410,DIS
Катастрофа Ан-148 в подмосковье,30.04.2018,3867,DIS
Катастрофа Ан-148 в подмосковье,07.05.2018,3584,DIS
Катастрофа Ан-148 в подмосковье,14.05.2018,4766,DIS
Катастрофа Ан-148 в подмосковье,21.05.2018,3961,DIS
Катастрофа Ан-148 в подмосковье,28.05.2018,5086,DIS
Катастрофа Ан-148 в подмосковье,04.06.2018,4055,DIS
Катастрофа Ан-148 в подмосковье,11.06.2018,2672,DIS
Катастрофа Ан-148 в подмосковье,18.06.2018,3096,DIS
Катастрофа Ан-148 в подмосковье,25.06.2018,7471,DIS
Скандал с Настей Рыбкой,01.01.2018,1895,SC
Скандал с Настей Рыбкой,08.01.2018,1309,SC
Скандал с Настей Рыбкой,15.01.2018,6408,SC
Скандал с Настей Рыбкой,22.01.2018,2382,SC
Скандал с Настей Рыбкой,29.01.2018,1193,SC
Скандал с Настей Рыбкой,05.02.2018,454629,SC
Скандал с Настей Рыбкой,12.02.2018,417922,SC
Скандал с Настей Рыбкой,19.02.2018,235237,SC
Скандал с Настей Рыбкой,26.02.2018,594743,SC
Скандал с Настей Рыбкой,05.03.2018,232917,SC
Скандал с Настей Рыбкой,12.03.2018,107859,SC
Скандал с Настей Рыбкой,19.03.2018,63560,SC
Скандал с Настей Рыбкой,26.03.2018,41527,SC
Скандал с Настей Рыбкой,02.04.2018,83739,SC
Скандал с Настей Рыбкой,09.04.2018,78258,SC
Скандал с Настей Рыбкой,16.04.2018,45149,SC
Скандал с Настей Рыбкой,23.04.2018,30865,SC
Скандал с Настей Рыбкой,30.04.2018,25649,SC
Скандал с Настей Рыбкой,07.05.2018,21587,SC
Скандал с Настей Рыбкой,14.05.2018,20964,SC
Скандал с Настей Рыбкой,21.05.2018,19624,SC
Скандал с Настей Рыбкой,28.05.2018,19023,SC
Скандал с Настей Рыбкой,04.06.2018,16027,SC
Скандал с Настей Рыбкой,11.06.2018,15188,SC
Скандал с Настей Рыбкой,18.06.2018,20824,SC
Скандал с Настей Рыбкой,25.06.2018,17475,SC
Олимпиада 2018,01.01.2018,410694,S
Олимпиада 2019,08.01.2018,681958,S
Олимпиада 2020,15.01.2018,876179,S
Олимпиада 2021,22.01.2018,1350488,S
Олимпиада 2022,29.01.2018,1405101,S
Олимпиада 2023,05.02.2018,9185751,S
